,housing_units,consumer_sentiment,ppi_building,mortgage_rate,ppi_trans,newly_owned_houses,working_age_pop,unemp_rate,pop_growth,gdp_data,target_var,cluster_labels
153,134642.0,86.9,136.6,5.7,128.4,1074.0,202987250.0,5.7,0.733361519937424,17141.235,166.643,1
154,134715.33333333334,88.8,137.1,5.8,128.2,1001.0,202987250.0,5.8,0.733361519937424,17187.70566666667,167.33700000000002,1
155,134788.66666666666,93.6,135.9,5.6,128.3,1073.0,202987250.0,5.6,0.733361519937424,17234.176333333333,168.05200000000002,1
156,134862.0,98.1,136.1,5.7,128.2,1085.0,204291750.0,5.7,0.73621730882542,17280.647,168.634,1
157,134935.0,95.4,138.6,5.5,127.3,886.0,204291750.0,5.5,0.73621730882542,17314.056333333334,169.132,1
158,135008.0,93.0,138.6,5.4,127.7,960.0,204291750.0,5.4,0.73621730882542,17347.465666666667,169.801,1
159,135081.0,95.9,137.7,5.4,127.2,1190.0,204291750.0,5.4,0.73621730882542,17380.875,170.299,1
160,135157.0,90.7,138.7,5.6,127.1,1079.0,204291750.0,5.6,0.73621730882542,17399.61,170.882,1
161,135233.0,96.1,138.4,5.3,127.9,1205.0,204291750.0,5.3,0.73621730882542,17418.345,171.467,1
162,135309.0,93.1,139.8,5.2,127.9,1146.0,204291750.0,5.2,0.73621730882542,17437.08,172.12900000000002,1
163,135390.0,91.9,138.3,5.1,126.9,1130.0,204291750.0,5.1,0.73621730882542,17445.57966666667,172.938,1
164,135471.0,87.2,136.9,5.0,125.5,1224.0,204291750.0,5.0,0.73621730882542,17454.079333333335,173.83,1
165,135552.0,90.0,136.3,5.0,125.8,1058.0,204291750.0,5.0,0.73621730882542,17462.579,174.793,1
166,135633.0,91.3,137.5,5.1,125.7,1172.0,204291750.0,5.1,0.73621730882542,17496.874333333333,175.739,1
167,135714.0,92.6,137.2,5.0,125.2,1146.0,204291750.0,5.0,0.73621730882542,17531.16966666667,176.545,1
168,135795.0,92.0,136.4,4.8,126.0,1092.0,205502750.0,4.8,0.724676067451429,17565.465,177.27200000000002,1
169,135876.33333333334,91.7,137.8,4.9,125.5,1225.0,205502750.0,4.9,0.724676067451429,17583.17033333333,177.65200000000002,1
170,135957.66666666666,91.0,136.7,5.0,126.1,1111.0,205502750.0,5.0,0.724676067451429,17600.875666666667,178.168,1
171,136039.0,89.0,137.8,5.1,125.5,1163.0,205502750.0,5.1,0.724676067451429,17618.581,178.768,1
172,136122.33333333334,94.7,138.5,4.8,124.7,1148.0,205502750.0,4.8,0.724676067451429,17653.883666666665,179.43099999999998,1
173,136205.66666666666,93.5,140.9,4.9,125.7,1203.0,205502750.0,4.9,0.724676067451429,17689.186333333335,180.079,1
174,136289.0,90.0,139.7,4.8,126.3,1239.0,205502750.0,4.8,0.724676067451429,17724.489,180.829,1
175,136377.33333333334,89.8,140.5,4.9,125.9,1171.0,205502750.0,4.9,0.724676067451429,17753.846,181.854,1
176,136465.66666666666,91.2,139.4,5.0,123.8,1068.0,205502750.0,5.0,0.724676067451429,17783.203,182.827,1
177,136554.0,87.2,138.0,4.9,124.9,1313.0,205502750.0,4.9,0.724676067451429,17812.56,183.756,1
178,136642.0,93.8,138.9,4.7,125.3,1140.0,205502750.0,4.7,0.724676067451429,17838.071333333333,184.765,1
179,136730.0,98.2,139.8,4.7,126.3,1252.0,205502750.0,4.7,0.724676067451429,17863.58266666667,185.726,1
180,136818.0,98.5,140.1,4.7,127.1,1190.0,205537500.0,4.7,0.63264399508256,17889.094,186.8,1
181,136906.33333333334,96.3,140.3,4.6,127.4,1271.0,205537500.0,4.6,0.63264399508256,17919.135333333335,187.314,1
182,136994.66666666666,96.9,142.9,4.4,127.0,1190.0,205537500.0,4.4,0.63264399508256,17949.176666666666,187.992,1
183,137083.0,97.0,141.1,4.4,127.6,1146.0,205537500.0,4.4,0.63264399508256,17979.218,188.727,1
184,137173.33333333334,97.1,142.2,4.4,127.0,1157.0,205537500.0,4.4,0.63264399508256,18028.81,189.622,1
185,137263.66666666666,95.0,142.6,4.3,128.1,1249.0,205537500.0,4.3,0.63264399508256,18078.402,190.512,1
186,137354.0,93.4,143.1,4.3,127.8,1206.0,205537500.0,4.3,0.63264399508256,18127.994,191.454,1
187,137448.33333333334,96.8,144.9,4.4,127.7,1159.0,205537500.0,4.4,0.63264399508256,18188.762666666666,192.675,1
188,137542.66666666666,95.1,142.2,4.3,127.6,1181.0,205537500.0,4.3,0.63264399508256,18249.53133333333,193.774,1
189,137637.0,100.7,143.1,4.2,128.9,1257.0,205537500.0,4.2,0.63264399508256,18310.3,194.82,1
190,137731.33333333334,98.5,143.5,4.2,129.7,1273.0,205537500.0,4.2,0.63264399508256,18352.575666666668,195.96400000000003,1
191,137825.66666666666,95.9,145.7,4.1,129.1,1177.0,205537500.0,4.1,0.63264399508256,18394.85133333333,197.17,1
192,137920.0,95.7,145.2,4.0,130.0,1299.0,206507750.0,4.0,0.526435395564053,18437.127,198.294,1
193,138014.33333333334,99.7,147.1,4.1,131.0,1277.0,206507750.0,4.1,0.526435395564053,18479.983666666667,199.211,1
194,138108.66666666666,101.4,147.9,4.0,132.3,1318.0,206507750.0,4.0,0.526435395564053,18522.840333333334,199.952,1
195,138203.0,98.8,150.0,4.0,132.6,1276.0,206507750.0,4.0,0.526435395564053,18565.697,200.655,1
196,138298.0,98.0,151.4,3.8,132.6,1357.0,206507750.0,3.8,0.526435395564053,18610.380666666668,201.433,1
197,138393.0,98.2,153.3,4.0,134.2,1192.0,206507750.0,4.0,0.526435395564053,18655.06433333333,202.243,1
198,138488.0,97.9,154.4,3.8,134.6,1208.0,206507750.0,3.8,0.526435395564053,18699.748,202.926,1
199,138584.66666666666,96.2,151.9,3.8,134.0,1288.0,206507750.0,3.8,0.526435395564053,18711.079,203.71400000000003,1
200,138681.33333333334,100.1,151.5,3.7,134.5,1250.0,206507750.0,3.7,0.526435395564053,18722.41,204.389,1
201,138778.0,98.6,152.2,3.8,136.1,1221.0,206507750.0,3.8,0.526435395564053,18733.741,205.159,1
202,138875.0,97.5,149.8,3.8,136.7,1181.0,206507750.0,3.8,0.526435395564053,18767.631,205.692,1
203,138972.0,98.3,151.0,3.9,136.3,1095.0,206507750.0,3.9,0.526435395564053,18801.521,206.149,1
204,139069.0,91.2,148.1,4.0,137.2,1232.0,206269916.666667,4.0,0.455381285963537,18835.411,206.495,1
205,139166.0,93.8,148.4,3.8,136.4,1128.0,206269916.666667,3.8,0.455381285963537,18877.665666666668,206.792,1
206,139263.0,98.4,152.0,3.8,136.8,1195.0,206269916.666667,3.8,0.455381285963537,18919.92033333333,207.017,1
207,139360.0,97.2,155.8,3.6,137.4,1267.0,206269916.666667,3.6,0.455381285963537,18962.175,207.51,1
208,139458.33333333334,100.0,150.2,3.7,137.5,1307.0,206269916.666667,3.7,0.455381285963537,19018.427333333333,208.157,1
209,139556.66666666666,98.2,148.6,3.6,138.3,1228.0,206269916.666667,3.6,0.455381285963537,19074.679666666667,208.677,1
210,139655.0,98.4,151.7,3.7,138.6,1245.0,206269916.666667,3.7,0.455381285963537,19130.932,209.319,1
211,139757.0,89.8,152.1,3.7,137.7,1367.0,206269916.666667,3.7,0.455381285963537,19159.185,210.145,1
212,139859.0,93.2,155.0,3.5,136.7,1300.0,206269916.666667,3.5,0.455381285963537,19187.438,210.97,1
213,139961.0,95.5,152.4,3.6,137.9,1332.0,206269916.666667,3.6,0.455381285963537,19215.691,211.874,1
214,140062.66666666666,96.8,152.2,3.6,137.9,1346.0,206269916.666667,3.6,0.455381285963537,19140.419666666665,212.819,1
215,140164.33333333334,99.3,153.1,3.6,139.7,1551.0,206269916.666667,3.6,0.455381285963537,19065.14833333333,213.906,1
216,140266.0,99.8,153.5,3.5,139.0,1572.0,205721083.333333,3.5,0.964347900193196,18989.877,214.904,1
217,140377.33333333334,101.0,152.2,3.5,138.3,1565.0,205721083.333333,3.5,0.964347900193196,18452.822,215.721,1
218,140488.66666666666,89.1,153.0,4.4,135.8,1267.0,205721083.333333,4.4,0.964347900193196,17915.767,216.314,1
219,140600.0,71.8,155.7,14.7,132.0,925.0,205721083.333333,14.7,0.964347900193196,17378.712,216.80900000000003,0
220,140704.66666666666,72.3,153.5,13.2,132.9,1054.0,205721083.333333,13.2,0.964347900193196,17833.714666666667,217.015,0
221,140809.33333333334,78.1,160.7,11.0,134.5,1266.0,205721083.333333,11.0,0.964347900193196,18288.71733333333,217.657,0
222,140914.0,72.5,163.9,10.2,133.6,1529.0,205721083.333333,10.2,0.964347900193196,18743.72,219.448,0
223,141026.33333333334,74.1,179.8,8.4,132.2,1377.0,205721083.333333,8.4,0.964347900193196,18803.90066666667,222.484,1
224,141138.66666666666,80.4,197.6,7.9,132.8,1463.0,205721083.333333,7.9,0.964347900193196,18864.08133333333,225.937,1
225,141251.0,81.8,196.4,6.9,135.2,1537.0,205721083.333333,6.9,0.964347900193196,18924.262,229.888,1
